"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese",
"STR_BC_Sabatti_D","The Sabatti 20mm sniper rifle is a high-powered, precision weapon designed for long-range engagements and anti-material purposes. Renowned for its accuracy and robust build, it delivers massive firepower with 20mm rounds, making it suitable for disabling vehicles, equipment, or fortified targets.","The Sabatti 20mm sniper rifle is a high-powered, precision weapon designed for long-range engagements and anti-material purposes. Renowned for its accuracy and robust build, it delivers massive firepower with 20mm rounds, making it suitable for disabling vehicles, equipment, or fortified targets.","Odstřelovací puška Sabatti 20mm je vysoce výkonná, precizní zbraň určená pro dlouhodobé nasazení a antimateriální účely. Pro svou přesnost a robustní konstrukci dodává masivní palebnou sílu s 20mm náboji, takže je vhodná pro vyřazení vozidel, vybavení nebo opevněných cílů.","Das Schnipergewehr Sabatti 20mm ist eine hochleistungsfähige Präzisionswaffe, die für langanhaltende Eingriffe und Antimaterialzwecke konzipiert ist. Er ist für seine Genauigkeit und seinen robusten Aufbau bekannt und liefert mit 20mm Runden eine enorme Feuerkraft, die es zum Abschalten von Fahrzeugen, Ausrüstungen oder befestigten Zielen geeignet macht.","20-мм снайперская винтовка Sabatti - это мощное высокоточное оружие, предназначенное для дальних боев и антиматериальных целей. Известный своей точностью и прочной сборкой, он обеспечивает массивную огневую мощь с 20 мм патронами, что делает его пригодным для отключения транспортных средств, оборудования или укрепленных целей.","Karabin snajperski Sabatti 20mm jest wysoce napędzaną, precyzyjną bronią przeznaczoną do działań dalekiego zasięgu i do celów antymaterialnych. Odnowiony ze względu na dokładność i solidną konstrukcję, zapewnia ogromną siłę ognia z nabojami 20mm, dzięki czemu nadaje się do unieszkodliwiania pojazdów, sprzętu lub wzmocnionych celów.","A Sabatti 20mm-es mesterlövész puska egy nagy teljesítményű, precíziós fegyver, amelyet nagy hatótávolságú és anyagellenes célokra terveztek. A pontosságáért és robusztus felépítéséért átalakítva hatalmas tűzerőt biztosít 20 mm-es töltényekkel, ami alkalmas járművek, berendezések vagy megerősített célpontok kikapcsolására.","Il fucile da cecchino Sabatti da 20 mm è un'arma di precisione ad alta potenza progettata per gli impegni a lungo raggio e per scopi antimateriali. Rinomato per la sua precisione e robusta costruzione, offre una potenza di fuoco enorme con giri da 20 mm, rendendolo adatto per la disattivazione di veicoli, attrezzature, o obiettivi fortificati.","El rifle de francotirador Sabatti 20mm es un arma de alta potencia y precisión diseñada para compromisos de largo alcance y propósitos antimateriales. Renombrada por su precisión y robusta construcción, ofrece una enorme potencia de fuego con rondas de 20 mm, lo que lo hace adecuado para desactivar vehículos, equipos o objetivos fortificados.","Le fusil à sniper Sabatti 20mm est une arme de précision de haute puissance conçue pour les engagements à longue portée et les buts anti-matériaux. Réputé pour sa précision et sa robustesse, il offre une puissance de feu massive avec des cartouches de 20 mm, ce qui le rend adapté aux véhicules, équipements ou cibles fortifiées invalidants.","萨巴蒂20毫米狙击步枪是一种为远程接战和反物质目的而设计的高能精准武器. 它因其精度和坚固的建筑而出名,以20毫米子弹提供大规模火力,使其适合使车辆、设备或防御工事失效的目标。","Sabatti 20mmのスナイパーライフルは、長距離のエンゲージメントとアンチマテリアルの目的のために設計された高機能で精密な武器です。 精度と堅牢なビルドで、20mmのラウンドで大きな火力を提供し、車両、機器、または強化されたターゲットを分解するのに適しています。","O rifle de sniper Sabatti 20mm é uma arma de precisão de alta potência projetada para engajamentos de longo alcance e propósitos anti-materiais. Reconhecida pela sua precisão e construção robusta, oferece poder de fogo maciço com 20mm de balas, tornando-o adequado para desativar veículos, equipamentos ou alvos fortificados.",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_RN50_N","RN-50","RN-50","RN- 50","RN-50","РН-50","RN- 50","RN- 50","RN-50","RN-50","RN-50","RN-50号","RN-50の特長","RN-50",
"STR_BC_RN50_N_B","RN-50 | Black","RN-50 | Black","RN- 50","RN-50 schwarz","RN-50 - черный","RN- 50","RN- 50","RN-50 - Nero","RN-50","Noir","RN-50 常规","RN-50 | 黒","RN-50 Preto",
"STR_BC_RN50_D","The RN-50 is a unique approach to the .50 Cal rifle. Rugged, lightweight, accurate, easy takedown and low price make this rifle a winner! The simple screw-on breech cap is not only strong, it applies absolutely symmetrical support to the cartridge case, allowing for incredible accuracy.","The RN-50 is a unique approach to the .50 Cal rifle. Rugged, lightweight, accurate, easy takedown and low price make this rifle a winner! The simple screw-on breech cap is not only strong, it applies absolutely symmetrical support to the cartridge case, allowing for incredible accuracy.","RN- 50 je unikátní přístup k kalibrové pušce .50. Drsné, lehké, přesné, snadné sundání a nízká cena, aby tato puška vítěz! Jednoduchá šroubovací čepice je nejen silná, ale také naprosto symetrická podpěra na nábojnici, která umožňuje neuvěřitelnou přesnost.","Der RN-50 ist ein einzigartiger Ansatz für das .50 Cal Gewehr. Robust, leicht, genau, einfach und kostengünstig machen dieses Gewehr zum Sieger! Die einfache aufgeschraubte Verschlusskappe ist nicht nur stark, sie trägt absolut symmetrische Halterung für den Patronenkoffer, was eine unglaubliche Genauigkeit ermöglicht.","RN-50 является уникальным подходом к винтовке .50 Cal. Прочная, легкая, точная, легкая и низкая цена делают эту винтовку победителем! Простой винтовой казённик не только прочен, он прикладывает к корпусу картриджа абсолютно симметричную опору, позволяющую добиться невероятной точности.","RN-50 to unikalne podejście do karabinu kalibru .50. Wytrzymały, lekki, dokładny, łatwy chwyt i niska cena sprawiają, że ten karabin wygrywa! Prosty śrubokręt na briech jest nie tylko mocny, stosuje się absolutnie symetryczne wsparcie do obudowy wkładu, co pozwala na niewiarygodną dokładność.","Az RN-50 egy egyedi megközelítése az 50-es kaliberű puskának. Rugalmas, könnyű, pontos, könnyű leszállás és alacsony ár teszi ezt a puskát győztessé! Az egyszerű csavaros kupak nem csak erős, teljesen szimmetrikus támaszt alkalmaz a patronra, ami hihetetlen pontosságot tesz lehetővé.","La RN-50 è un approccio unico al fucile .50 Cal. Rugged, leggero, preciso, facile takedown e prezzo basso rendono questo fucile un vincitore! Il semplice tappo a vite su breech non è solo forte, vale il supporto assolutamente simmetrico alla custodia della cartuccia, consentendo un'incredibile precisione.","El RN-50 es un enfoque único del rifle .50 Cal. Frojo, ligero, preciso, fácil de llevar y bajo precio hacen de este rifle un ganador! La sencilla gorra de rosca no sólo es fuerte, se aplica soporte absolutamente simétrico a la caja del cartucho, permitiendo una precisión increíble.","Le RN-50 est une approche unique du fusil .50 Cal. Robuste, léger, précis, facile à enlever et à bas prix font de ce fusil un gagnant! Le simple bouchon à vis est non seulement solide, il applique un support absolument symétrique au boîtier de la cartouche, ce qui permet une précision incroyable.","RN-50是使用0.50 Cal步枪的一种独特方法. 粗鲁,轻量级,准确,易取和低价使这支步枪成为了赢家! 简单的螺丝上胸盖不仅很坚固,而且对弹匣外壳应用了绝对对称的支撑,使得精度令人难以置信.","RN-50は.50 Calライフルのユニークなアプローチです。 頑丈な、軽量、正確で簡単なテイクダウンと低価格で、このライフルを勝者にします! シンプルなスクリューオンブレンキャップは、強度だけでなく、カートリッジケースに絶対に対称的なサポートを適用し、信じられないほどの精度を実現します。","O RN-50 é uma abordagem única para o rifle .50 Cal. Rugged, leve, preciso, fácil derrube e baixo preço fazer este rifle um vencedor! A simples tampa de rosca não é apenas forte, aplica suporte absolutamente simétrico à caixa do cartucho, permitindo uma precisão incrível.",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_NoreenULR50_N","Noreen ULR-50","Noreen ULR-50","Noreen ULR- 50","Noreen ULR-50","Норин УЛР-50","Noreen ULR- 50","Noreen ULR- 50","Noreen ULR-50","Noreen ULR-50","Norvège ULR-50","诺林ULR-50","ノレン ULR-50","Noreen Ulr-50",
"STR_BC_NoreenULR50_N_B","Noreen ULR-50 | Black","Noreen ULR-50 | Black","Noreen ULR- 50","Noreen ULR-50 | Schwarz","Noreen ULR-50 Черный","Noreen ULR- 50","Noreen ULR -50","Noreen ULR-50 | Nero","Noreen ULR-50","Noir","诺琳·ULR-50 黑色","ノレン ULR-50 | 黒","Noreen ULR-50",
"STR_BC_NoreenULR50_D","The Noreen ULR-50 (Ultimate Long Range) is an American-made, single-shot, bolt-action anti-materiel/sniper rifle chambered in .50 BMG (12.7×99mm NATO). It’s designed for ultra-long-range precision shooting, typically exceeding distances of 2,000 yards.","The Noreen ULR-50 (Ultimate Long Range) is an American-made, single-shot, bolt-action anti-materiel/sniper rifle chambered in .50 BMG (12.7×99mm NATO). It’s designed for ultra-long-range precision shooting, typically exceeding distances of 2,000 yards.","Noreen ULR-50 (Ultimate Long Range) je americký, single-shot, bolt- action antimateriel / sniper puška komora v .50 BMG (12.7 × 99mm NATO). Je navržen pro ultradlouhý rozsah přesné střelby, obvykle přes vzdálenost 2000 yardů.","Die Noreen ULR-50 (Ultimate Long Range) ist ein amerikanisches, eingeschossiges, bolzenaktives Anti-materiel/Sniper-Gewehr in .50 BMG (12.7×99mm NATO). Es ist für ultra-Langstrecken-Präzisionsschießen konzipiert, typischerweise über Entfernungen von 2.000 Metern.","Noreen ULR-50 (Ultimate Long Range) - это американская однозарядная противоснайперская винтовка с затвором .50 BMG (12,7×99 мм НАТО). Он предназначен для сверхдальней точной стрельбы, обычно превышающей расстояния в 2000 ярдов.","Noreen ULR- 50 (Ultimate Long Range) jest amerykańskim, single- shot, bolt- action anty-mathiel / snajper shanguin chammarked in .50 BMG (12.7 × 99mm NATO). Jest przeznaczony do fotografowania precyzyjnego o ultradługim zasięgu, zazwyczaj przekraczającego 2000 jardów.","A Noreen ULR-50 (Ultimate Long Range) egy amerikai gyártmányú, egyetlen-shot, bolt-action antimateriel / mesterlövész puska chamber .50 BMG (12,7 × 99mm NATO). Ultra-hosszú-hatótávolságú precíziós forgatásra tervezték, jellemzően 2000 yardot meghaladó távolságokra.","Il Noreen ULR-50 (Ultimate Long Range) è un fucile anti-materiel/sniper statunitense, mono-shot, anti-materiel/sniper, camerato in .50 BMG (12.7×99mm NATO). È progettato per riprese di precisione ultra-lungo raggio, in genere superando le distanze di 2.000 metri.","El Noreen ULR-50 (Ultimate Long Range) es un rifle anti-materiel/sniper hecho por Estados Unidos, de una sola acción y de una sola inyección en .50 BMG (12.7×99mm OTAN). Está diseñado para disparos de precisión de ultra-long-range, por lo general superando distancias de 2.000 metros.","Le Noreen ULR-50 (Ultimate Long Range) est un fusil anti-matériel/sniper fabriqué aux États-Unis. Il est conçu pour un tir de précision à très longue portée, dépassant généralement les distances de 2000 verges.","Noreen ULR-50 (英語:Ultimate Long Range)是一款由美国制造,单发,螺栓动作相抗体/狙击步枪,装入了50 BMG(北约12.7×99毫米). 它设计用于超长程精确射击,一般超过2000码的距离.","Noreen ULR-50(究極のロングレンジ)は、アメリカ製、シングルショット、ボルトアクションアンチマトリル/スナイパーリフルチャンバー(.50 BMG(12.7×99mm NATO)です。 2,000ヤードの超長距離精密撮影用に設計されています。","O NOREEN ULR-50 (Ultimate Long Range) é um rifle anti-materiel/sniper de ação única fabricado nos Estados Unidos. É projetado para tiro de precisão de ultra longo alcance, tipicamente excedendo distâncias de 2.000 jardas.",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_M300T_N","M300 Intervention","M300 Intervention","M300 Intervence","M300 Intervention","Вмешательство M300","M300 Interwencja","M300 Beavatkozás","Intervento M300","Intervención M300","M300 Intervention","M300 干预","M300の介入","Intervenção M300",
"STR_BC_M300T_D","Chambered in .408AP >>omg i died to a PALADIN XD<<.","Chambered in .408AP >>omg i died to a PALADIN XD<<.","Chambered in .408AP > > omg i zemřel na PALADIN XD < <.","In .408AP >>omg verstarb ich zu einem PALADIN XD<.","Заключенный в .408AP >>omg я умер в Паладин XD<<.","OMG i zmarł na PALADIN XD < <.","A .408AP > > omg-ban ábrázolva egy PALADIN XD < <.","Citata in .408AP >omg sono morta a un PALADIN XD","Chambered in .408AP нелиноomg he muerto a un PALADIN XD observado.",".408AP >>omg i est mort à un PALADIN XD<<.","在408AP ommg I死 一个PALADIN XD<<。",".408APでチャンバー >>omg 私はPALADIN XD<に死亡しました。","Chambered in .408AP >>omg i morreu para um PALADIN XD<<.",
"STR_BC_M300T_Magazine_N","7rd M300 Intervention Magazine","7rd M300 Intervention Magazine","7rd M300 Intervenční časopis","7. M300 Interventionsmagazin","7-й журнал M300 Intervention Magazine","7rd M300 Magazyn Interwencyjny","7rd M300 Intervention Magazine","7rd M300 Intervention Magazine","7rd M300 Intervention Magazine","7e magazine d'intervention M300","第7期M300干预杂志","第7回M300インターベンションマガジン","7a Revista de Intervenção M300",
"STR_BC_M300T_Magazine_D","7 .408AP Magazine for the M300 Intervention","7 .408AP Magazine for the M300 Intervention","7. 408AP Magazine for the M300 Intervention","7.408AP Magazin für die M300 Intervention","7 .408AP Magazine for the M300 Intervention","7. 408AP Magazine for the M300 Intervention","7. 408AP Magazine for the M300 Intervention","7 .408AP Magazine per l'intervento M300","7 .408AP Magazine for the M300 Intervention","7 .408AP Magazine pour l'intervention M300","7 408AP M300干预杂志","7 .408AP M300の介入のための雑誌","7 .408AP Revista para a Intervenção M300",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_BarrettM107A1_N","Barrett M107A1","Barrett M107A1","Barrett M107A1","Barrett M107A1","Барретт M107A1","Barrett M107A1","Barrett M107A1","Barrett M107A1","Barrett M107A1","Barrett M107A1","巴雷特M107A1","バレット M107A1","Barrett M107A1",
"STR_BC_BarrettM107A1_D","The Barrett M107A1 is a semi-automatic, recoil-operated .50 BMG rifle designed for long-range precision shooting and anti-material operations. It's known for its high accuracy, rapid fire, and the ability to engage targets at extended distances, even armored vehicles.","The Barrett M107A1 is a semi-automatic, recoil-operated .50 BMG rifle designed for long-range precision shooting and anti-material operations. It's known for its high accuracy, rapid fire, and the ability to engage targets at extended distances, even armored vehicles.","Barrett M107A1 je poloautomatická, recoil- ovládaná puška .50 BMG určená pro přesné snímání dlouhého dosahu a antimateriální operace. Je známý svou vysokou přesností, rychlou palbou a schopností zapojit cíle na delší vzdálenosti, dokonce i obrněná vozidla.","Das Barrett M107A1 ist ein halbautomatisches, rückstoßbetriebenes .50 BMG-Gewehr, das für Langstrecken-Präzisionsschießen und Antimaterial-Operationen konzipiert ist. Es ist bekannt für seine hohe Genauigkeit, schnelles Feuer und die Fähigkeit, Ziele in ausgedehnten Abständen, sogar gepanzerte Fahrzeuge zu greifen.","Barrett M107A1 - полуавтоматическая винтовка с отдачей .50 BMG, предназначенная для высокоточной стрельбы на большие расстояния и операций с антиматериалом. Он известен своей высокой точностью, быстрым огнем и способностью поражать цели на больших расстояниях, даже бронетехнику.","Barrett M107A1 to półautomatyczny karabin .50 BMG przeznaczony do wykonywania zdjęć precyzyjnych i operacji antymateriałowych o długim zasięgu. Znany jest z wysokiej dokładności, szybkiego ognia i zdolności do atakowania celów na długich dystansach, nawet opancerzonych pojazdach.","A Barrett M107A1 egy félautomata, visszaforgatható .50-es BMG-s puska, amelyet nagy hatótávolságú precíziós lövéshez és antianyaghoz terveztek. A magas pontosságáról, a gyors tűzről, és arról, hogy képes a célpontokat nagy távolságokra támadni, még a páncélozott járműveket is.","Il Barrett M107A1 è un fucile semiautomatico a recoil calibro .50 BMG progettato per riprese di precisione a lungo raggio e operazioni anti-materiali. E 'noto per la sua alta precisione, fuoco rapido, e la capacità di coinvolgere obiettivi a distanze estese, anche veicoli blindati.","El Barrett M107A1 es un rifle semiautomático y operado con retroceso .50 BMG diseñado para disparos de precisión de largo alcance y operaciones antimateriales. Es conocido por su alta precisión, fuego rápido, y la capacidad de comprometer objetivos a distancias extendidas, incluso vehículos blindados.","Le Barrett M107A1 est un fusil semi-automatique de calibre 50 BMG conçu pour des opérations de tir de précision et anti-matériaux à longue portée. Il est connu pour sa grande précision, son incendie rapide et sa capacité à attaquer des cibles à de longues distances, même des véhicules blindés.","巴雷特M107A1是一款半自动后坐力-50 BMG步枪,为远程精确射击和反物质操作所设计. 以精度高,火力快而出名,并有能力在更远的距离上对准目标,甚至有装甲车辆.","Barrett M107A1は半自動で、反物質的な操作を長距離の精密射撃および反材料操作のために設計されている.50 BMGのライフルです。 高精度、急激な火災、および拡張距離、装甲車でもターゲットを積む能力で知られています。","O Barrett M107A1 é um rifle semi-automático, operado por rebolo.50 BMG projetado para operações de precisão de longo alcance e operações anti-materiais. É conhecida pela sua alta precisão, fogo rápido, e pela capacidade de atingir alvos a distâncias extensas, até mesmo veículos blindados.",
"STR_BC_BarrettM107A1_Magazine_N","BarrettM107A1_Magazine","BarrettM107A1_Magazine","BarrettM107A1 _ Magazine","BarrettM107A1 Magazin","BarrettM107A1 Magazine","BarrettM107A1 _ Magazine","BarrettM107A1 _ Magazine","BarrettM107A1 Magazine","BarrettM107A1 Magazine","BarrettM107A1 Magazine","巴雷特M107A1 马加锡","BarrettM107A1 マガジン","BarrettM107A1 Magazine",
"STR_BC_BarrettM107A1_Magazine_D","10 .50 BMG Rounds Magazine for the M107A1","10 .50 BMG Rounds Magazine for the M107A1","10 .50 BMG Rounds Magazine for the M107A1","10.50 BMG Rounds Magazine für das M107A1","10.50 BMG Rounds Magazine для M107A1","10. 50 BMG Rounds Magazine dla M107A1","10 .50 BMG Rounds Magazine az M107A1-hez","10 .50 BMG Rounds Magazine per il M107A1","10 .50 BMG Rounds Magazine for the M107A1","10 .50 BMG Rounds Magazine pour le M107A1","10.50 BMG 圆形M107A1相机杂志","10 .50 M107A1のBMGラウンドマガジン","10 .50 Revista BMG Rounds para o M107A1",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_M82A2_N","Barrett M82A2","Barrett M82A2","Barrett M82A2","Barrett M82A2","Барретт М82А2","Barrett M82A2","Barrett M82A2","Barrett M82A2","Barrett M82A2","Barrett M82A2","巴雷特M82A2型导弹","バレット M82A2","Barrett M82A2",
